,vocalization,mother,year,nest,postnatalday,event,recording,clust2,clust3,clust4,clust5,clust6,clust7,clust8
0,1,b'E',19,b'E3',1,14,62,2,2,2,3,4,4,5
1,1,b'E',19,b'E3',1,13,62,1,1,1,2,2,2,2
2,1,b'E',19,b'E3',1,15,62,2,2,2,3,4,4,5
3,1,b'E',19,b'E3',1,19,62,2,3,3,4,5,5,6
4,1,b'E',19,b'E3',1,21,62,2,2,2,3,4,4,5
5,1,b'E',19,b'E3',1,1,62,2,2,2,3,3,3,4
6,1,b'E',19,b'E3',1,25,62,2,2,2,3,4,4,5
7,1,b'E',19,b'E3',1,17,62,2,3,3,4,5,5,6
8,1,b'E',19,b'E3',1,16,62,2,3,3,4,5,5,6
9,1,b'E',19,b'E3',1,22,62,2,3,3,4,5,5,6
10,1,b'E',19,b'E3',1,23,62,2,2,2,3,4,4,5
11,1,b'E',19,b'E3',1,29,62,2,2,2,3,4,4,5
12,1,b'E',19,b'E3',1,26,62,2,3,3,4,5,5,6
13,1,b'E',19,b'E3',1,18,62,2,3,3,4,5,5,6
14,1,b'E',19,b'E3',1,32,62,2,2,2,3,3,3,4
15,1,b'E',19,b'E3',1,24,62,2,2,2,3,3,3,4
16,1,b'E',19,b'E3',1,36,62,2,2,2,3,4,4,5
17,1,b'E',19,b'E3',1,33,62,2,2,2,3,3,3,4
18,1,b'E',19,b'E3',1,30,62,2,2,2,3,4,4,5
19,1,b'E',19,b'E3',1,20,62,2,2,2,3,4,4,5
20,1,b'E',19,b'E3',1,27,62,2,3,3,4,5,5,6
21,1,b'E',19,b'E3',1,4,63,2,3,3,4,5,5,6
22,1,b'E',19,b'E3',1,2,63,2,2,2,3,4,4,5
23,1,b'E',19,b'E3',1,34,62,2,2,2,3,3,3,4
24,1,b'E',19,b'E3',1,31,62,2,3,4,5,6,6,7
25,1,b'E',19,b'E3',1,9,63,2,3,3,4,5,5,6
26,1,b'E',19,b'E3',1,35,62,2,2,2,3,3,3,4
27,1,b'E',19,b'E3',1,5,63,2,3,3,4,5,5,6
28,1,b'E',19,b'E3',1,12,63,2,2,2,3,3,3,4
29,1,b'E',19,b'E3',1,8,63,2,2,2,3,3,3,4
30,1,b'E',19,b'E3',1,28,62,2,3,4,5,6,6,7
31,1,b'E',19,b'E3',1,13,63,2,3,3,4,5,5,6
32,1,b'E',19,b'E3',1,3,63,2,3,3,4,5,5,6
33,1,b'E',19,b'E3',1,1,63,2,2,2,3,4,4,5
34,1,b'E',19,b'E3',1,14,63,2,3,3,4,5,5,6
35,1,b'E',19,b'E3',1,20,63,2,3,3,4,5,5,6
36,1,b'E',19,b'E3',1,7,63,2,2,2,3,4,4,5
37,1,b'E',19,b'E3',1,22,63,2,3,4,5,6,6,7
38,1,b'E',19,b'E3',1,18,63,2,2,2,3,4,4,5
39,1,b'E',19,b'E3',1,15,63,2,3,3,4,5,5,6
40,1,b'E',19,b'E3',1,19,63,2,3,3,4,5,5,6
41,1,b'E',19,b'E3',1,21,63,2,3,4,5,6,6,7
42,1,b'E',19,b'E3',1,11,63,2,3,3,4,5,5,6
43,1,b'E',19,b'E3',1,3,64,2,3,4,5,6,6,7
44,1,b'E',19,b'E3',1,23,63,2,2,2,3,4,4,5
45,1,b'E',19,b'E3',1,6,63,2,3,3,4,5,5,6
46,1,b'E',19,b'E3',1,2,64,2,3,4,5,6,6,7
47,1,b'E',19,b'E3',1,4,64,2,2,2,3,4,4,5
48,1,b'E',19,b'E3',1,10,63,2,2,2,3,4,4,5
49,1,b'E',19,b'E3',1,9,64,1,1,1,2,2,2,3
50,1,b'E',19,b'E3',1,1,64,2,3,4,5,6,6,7
51,1,b'E',19,b'E3',1,18,64,2,2,2,3,3,3,4
52,1,b'E',19,b'E3',1,14,64,2,3,4,5,6,6,7
53,1,b'E',19,b'E3',1,21,64,2,2,2,3,4,4,5
54,1,b'E',19,b'E3',1,12,64,2,2,2,3,3,3,4
55,1,b'E',19,b'E3',1,5,64,2,2,2,3,4,4,5
56,1,b'E',19,b'E3',1,20,64,2,2,2,3,4,4,5
57,1,b'E',19,b'E3',1,30,64,2,2,2,3,3,3,4
58,1,b'E',19,b'E3',1,28,64,2,3,3,4,5,5,6
59,1,b'E',19,b'E3',1,33,64,2,3,3,4,5,5,6
60,1,b'E',19,b'E3',1,29,64,2,3,3,4,5,5,6
61,1,b'E',19,b'E3',1,8,64,1,1,1,2,2,2,3
62,1,b'E',19,b'E3',1,17,63,2,2,2,3,4,4,5
63,1,b'E',19,b'E3',1,36,64,2,3,3,4,5,5,6
64,1,b'E',19,b'E3',1,23,64,2,2,2,3,3,3,4
65,1,b'E',19,b'E3',1,40,64,2,2,2,3,4,4,5
66,1,b'E',19,b'E3',1,38,64,2,3,3,4,5,5,6
67,1,b'E',19,b'E3',1,32,64,2,2,2,3,4,4,5
68,1,b'E',19,b'E3',1,26,64,2,2,2,3,4,4,5
69,1,b'E',19,b'E3',1,39,64,2,3,3,4,5,5,6
70,1,b'E',19,b'E3',1,35,64,2,3,3,4,5,5,6
71,1,b'E',19,b'E3',1,6,64,2,3,3,4,5,5,6
72,1,b'E',19,b'E3',1,34,64,2,3,3,4,5,5,6
73,1,b'E',19,b'E2',9,1,126,2,3,4,5,6,7,8
74,1,b'E',19,b'E2',9,5,125,2,3,4,5,6,6,7
75,1,b'E',19,b'E2',9,16,126,2,3,4,5,6,7,8
76,1,b'E',19,b'E2',9,3,127,2,3,4,5,6,7,8
77,1,b'E',19,b'E2',9,1,127,2,3,4,5,6,6,7
78,1,b'E',19,b'E2',9,17,126,2,3,3,4,5,5,6
79,1,b'E',19,b'E2',9,15,126,2,3,4,5,6,7,8
80,1,b'E',19,b'E2',9,7,125,2,2,2,3,4,4,5
81,1,b'U',19,b'U5',1,1,51,2,3,4,5,6,6,7
82,1,b'U',19,b'U5',1,2,51,2,3,3,4,5,5,6
83,1,b'U',19,b'U5',1,4,51,1,1,1,2,2,2,2
84,1,b'U',19,b'U5',1,6,51,2,3,3,4,5,5,6
85,1,b'U',19,b'U5',1,3,51,2,2,2,3,4,4,5
86,1,b'U',19,b'U5',1,5,51,2,3,3,4,5,5,6
87,1,b'U',19,b'U5',1,7,51,2,3,4,5,6,6,7
88,1,b'U',19,b'U5',1,12,51,2,3,4,5,6,6,7
89,1,b'E',19,b'E2',9,2,127,2,3,4,5,6,6,7
90,1,b'U',19,b'U5',1,14,51,2,3,4,5,6,6,7
91,1,b'U',19,b'U5',1,16,51,2,3,4,5,6,6,7
